State,County,FOODINSEC_09_11,FOODINSEC_12_14,FOODINSEC_15_17,CH_FOODINSEC_11_14,CH_FOODINSEC_14_17,Model_answer,FOODINSEC_08_10,FOODINSEC_11_13,FOODINSEC_14_16,FOODINSEC_17_19
AK,Northwest Arctic,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Petersburg,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Prince of Wales-Hyder,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Sitka,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Skagway,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Southeast Fairbanks,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Valdez-Cordova,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Wade Hampton,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Wrangell,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Yakutat,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AK,Yukon-Koyukuk,13.9,12,11.6,-1.9,-0.4,decr,13.6,11.8,12.7,10.7
AZ,Apache,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Cochise,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Coconino,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Gila,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Graham,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Greenlee,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,La Paz,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Maricopa,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Mohave,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Navajo,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Pima,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Pinal,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Santa Cruz,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Yavapai,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AZ,Yuma,15.8,19.9,17.4,4.1,-2.5,decr,15.3,15.6,14.6,11.7
AR,Arkansas,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Ashley,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Baxter,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Benton,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Boone,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Bradley,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Calhoun,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Carroll,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Chicot,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Clark,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Clay,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Cleburne,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Cleveland,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Columbia,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Conway,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Craighead,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Crawford,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Crittenden,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Cross,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Dallas,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Desha,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Drew,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Faulkner,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Franklin,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Fulton,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Garland,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Grant,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Greene,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Hempstead,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Hot Spring,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Howard,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Independence,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Izard,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Jackson,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Jefferson,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Johnson,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Lafayette,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Lawrence,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Lee,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Lincoln,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Little River,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Logan,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Lonoke,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Madison,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Marion,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Miller,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Mississippi,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Monroe,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Montgomery,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Nevada,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Newton,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Ouachita,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Perry,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Phillips,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Pike,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Poinsett,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Polk,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Pope,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Prairie,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Pulaski,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Randolph,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,St. Francis,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Saline,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Scott,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Searcy,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Sebastian,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Sevier,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Sharp,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Stone,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Union,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Van Buren,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Washington,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,White,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Woodruff,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
AR,Yell,19.2,15.4,13.1,-3.8,-2.3,decr,18.6,21.2,17.5,13.8
CA,Alameda,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Alpine,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Amador,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Butte,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Calaveras,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Colusa,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Contra Costa,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Del Norte,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,El Dorado,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Fresno,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Glenn,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Humboldt,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Imperial,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Inyo,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Kern,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Kings,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Lake,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Lassen,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Los Angeles,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Madera,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Marin,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Mariposa,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Mendocino,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Merced,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Modoc,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Mono,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Monterey,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Napa,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Nevada,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Orange,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Placer,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Plumas,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Riverside,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Sacramento,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,San Benito,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,San Bernardino,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,San Diego,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,San Francisco,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,San Joaquin,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,San Luis Obispo,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,San Mateo,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Santa Barbara,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Santa Clara,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Santa Cruz,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Shasta,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Sierra,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Siskiyou,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Solano,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Sonoma,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Stanislaus,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Sutter,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Tehama,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Trinity,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Tulare,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Tuolumne,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Ventura,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Yolo,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CA,Yuba,16.2,13.5,11.2,-2.7,-2.3,decr,15.9,15,11.8,9.9
CO,Adams,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Alamosa,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Arapahoe,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Archuleta,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Baca,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Bent,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Boulder,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Broomfield,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Chaffee,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Cheyenne,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Clear Creek,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Conejos,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Costilla,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Crowley,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Custer,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Delta,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Denver,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Dolores,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Douglas,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Eagle,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Elbert,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,El Paso,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Fremont,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Garfield,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Gilpin,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Grand,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Gunnison,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Hinsdale,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Huerfano,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Jackson,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Jefferson,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Kiowa,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Kit Carson,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Lake,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,La Plata,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Larimer,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Las Animas,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
CO,Lincoln,13.4,13.6,9.2,0.2,-4.4,decr,13.4,13.9,10.3,10.2
